FT	ID	RT	WT	ST
77	63	76	0	1
76	62	75	0	1
75	61	74	0	1
72	58	71	0	1
72	57	70	0	2
70	56	69	0	1
68	54	67	0	1
67	53	66	0	1
64	52	63	0	1
64	51	62	0	2
62	50	61	0	1
59	49	58	0	1
58	48	57	0	1
57	47	56	0	1
56	46	55	0	1
56	45	54	0	2
54	44	53	0	1
53	43	52	0	1
52	42	51	0	1
51	41	50	0	1
50	40	49	0	1
49	39	48	0	1
49	35	44	0	5
48	38	47	0	1
48	37	46	0	2
46	36	45	0	1
44	34	43	0	1
43	33	42	0	1
42	32	41	0	1
42	31	40	0	2
38	30	37	0	1
38	29	36	0	2
36	28	35	0	1
33	27	32	0	1
32	26	31	0	1
31	25	30	0	1
30	24	29	0	1
30	23	28	0	2
29	19	24	0	5
28	22	27	0	1
27	21	26	0	1
26	20	25	0	1
24	18	23	0	1
23	17	22	0	1
22	16	21	0	1
21	15	20	0	1
11	14	10	0	1
11	13	9	0	2
9	12	8	0	1
6	11	5	0	1
6	7	3	0	3
5	10	4	0	1
5	9	4	0	1
4	8	3	0	1
4	6	2	0	2
4	5	2	0	2
3	2	1	0	2
2	3	1	0	1
2	1	1	0	1
2	4	1	0	1
Orders: 60 [Norm:25, Veg:19, VIP:16]
Chiefs: 7 [Norm:3, Veg:1, VIP:2]
Avg Wait = 0.0, Avg Serv = 1.4, Auto-promoted = 0.0%
