FT	ID	RT	WT	ST
140	282	137	0	3
135	281	134	0	1
134	280	133	0	1
134	277	131	0	3
133	279	132	0	1
133	278	132	0	1
129	276	128	0	1
128	275	127	0	1
127	274	124	0	3
124	273	122	0	2
123	272	120	0	3
120	271	118	0	2
118	269	115	0	3
116	270	115	0	1
113	268	112	0	1
113	266	110	0	3
112	267	111	0	1
110	265	109	0	1
93	264	92	0	1
92	263	91	0	1
92	262	90	0	2
90	261	89	0	1
89	259	84	1	4
88	260	87	0	1
84	258	82	0	2
84	257	81	0	3
82	256	80	0	2
80	253	76	0	4
79	255	78	0	1
78	254	77	0	1
76	252	75	0	1
75	251	74	0	1
74	250	73	0	1
69	248	68	0	1
67	247	66	0	1
65	246	64	0	1
65	243	59	0	6
64	245	63	0	1
62	244	61	0	1
60	242	58	0	2
50	241	49	0	1
50	240	48	0	2
49	238	45	3	1
49	237	44	4	1
47	236	44	2	1
47	239	46	0	1
47	232	42	3	2
45	235	44	0	1
45	234	43	0	2
45	231	41	2	2
44	233	42	0	2
42	230	40	1	1
41	229	39	0	2
39	228	38	0	1
39	227	37	0	2
38	225	34	0	4
36	226	35	0	1
31	222	26	0	5
29	224	28	0	1
28	223	27	0	1
28	221	25	0	3
23	220	21	0	2
21	218	20	0	1
21	219	20	0	1
19	217	17	0	2
19	215	16	0	3
17	216	16	0	1
16	213	14	1	1
16	214	15	0	1
15	211	12	0	3
13	212	12	0	1
10	210	9	0	1
8	209	7	0	1
8	206	6	0	2
7	208	6	0	1
7	207	6	0	1
6	205	5	0	1
4	204	3	0	1
3	202	2	0	1
3	203	2	0	1
2	201	1	0	1
Orders: 81 [Norm:50, Veg:13, VIP:18]
Chiefs: 6 [Norm:1, Veg:3, VIP:2]
Avg Wait = 0.2, Avg Serv = 1.7, Auto-promoted = 0.0%
